"Part";"Value";"Device";"Package";"Description";"ARROW_PART_NUMBER";"ARROW_PRICE-STOCK";"BUILT_BY";"CATEGORY";"COLOR";"COPYRIGHT";"CREATED_BY";"DATASHEET-URL";"DESCRIPTION";"DIGIKEY_PARTNO";"DIGIKEY_PART_NUMBER";"DISPLAY";"FORWARD_CURRENT";"HEIGHT";"MANUFACTURER";"MANUFACTURER_NAME";"MANUFACTURER_PART_NUMBER";"MF";"MOUSER_PART_NUMBER";"MOUSER_PRICE-STOCK";"MPN";"OC_FARNELL";"OC_NEWARK";"OPERATING_TEMP";"OPERATING_TEMPERATURE";"PACKAGING";"PART-NUMBER";"PART_STATUS";"POPULARITY";"RATING";"REVERSE_VOLTAGE";"ROHS_COMPLIANCE";"ROHS_COMPLIANT";"SCHEMATIC";"SERIES";"SUB-CATEGORY";"SUBCATEGORY";"THERMALLOSS";"TOLERANCE";"TYPE";"VALUE";"VENDOR";"ZENER_VOLTAGE";
"D1";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_RED";"";"";
"D2";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_RED";"";"";
"D3";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_RED";"";"";
"D4";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_RED";"";"";
"D5";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_RED";"";"";
"D6";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_RED";"";"";
"D7";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_RED";"";"";
"D8";"LED_RED";"LED_RADIAL_RED";"LEDRD254W60D565H860B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_RED";"";"";
"D9";"MBR0520LT1G";"SCHOTTKY_MBR0520LT1GDO-219";"SODFL3718X115";"Schottky Diode - Popular parts";"";"";"";"Diode";"";"";"";"";"DIODE SCHOTTKY 20V 500MA SOD123";"";"";"";"";"";"ON Semiconductor";"";"";"";"";"";"MBR0520LT1G";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"Schottky";"";"";"";"";"MBR0520LT1G";"";"";
"D10";"LED_BLUE";"LED_RADIAL_BLUE";"LEDRD254W60D565H860B_B";"LED - Generic";"";"";"";"Opto-Electronic";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"LED";"";"";"";"";"LED_BLUE";"";"";
